DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Barguna,Taltali,100002,NAYAVIZORA B. N. A HIGH SCHOOL,NAYAVIZORA,AGATHAKURPARA,1719938964,PRIVATE,Yes
Barguna,Taltali,100005,ALIR BANDAR A M HIGH SCHOOL,ALIR BANDAR,KARAI BARIA,1733135617,PRIVATE,No
Barguna,Taltali,100006,NALBUNIA AGAPARA JUNIOR HIGH SCHOOL,AGAPARA,SOBHANPARA,1740874263,PRIVATE,No
Barguna,Taltali,100007,BEHALA HIGH SCHOOL,BEHALA,BEHALA,1309100007,PRIVATE,Yes
Barguna,Taltali,100010,BEGUM NOURJAHAN  GIRLS HIGH SCHOOL,CATONPARA,TALTALI,1712924259,PRIVATE,No
Barguna,Taltali,100025,TALTALI  GOVT. HIGH SCHOOL,TALTALI BANDAR,TALTALI,1727221569,PUBLIC,Yes
Barguna,Taltali,100027,CHHOTO BOGI P.K HIGH SCHOOL,CHHOTO BOGI,CHHOTO BOGI,1309100027,PRIVATE,Yes
Barguna,Taltali,100043,BAGIR HAT SECONDARY SCHOOL.,BAGIRHAT,CHHOTA BAGI,1309100043,PRIVATE,Yes
Barguna,Taltali,100045,LAUPARA SAGAR SAIKAT HIGH SCHOOL,LAUPARA,SOKINA,1718968713,PRIVATE,Yes
Barguna,Taltali,100047,ALL HAZ NASIR UDDIN JUNIOR SCHOOL,PURBO JHARAKHALI,KARAIBARIA,1761092984,PRIVATE,Yes
Barguna,Taltali,100049,CHOTO BOGI COMDECA GIRLS SCHOOL,CHOTO BOGI   ,CHOTO BOGI,1716545444,PRIVATE,Yes
Barguna,Taltali,100053,PANCHAKORALIA GIRLS  HIGH SCHOOL,PANCHAKORALIA,PANCHA KORALIA,1735542706,PRIVATE,Yes
Barguna,Taltali,100062,TALUKDERPARA HIGH SCHOOL,TALUKDERPARA,TALTALI,1719937792,PRIVATE,Yes
Barguna,Taltali,134887,CHARPARA  SECONDRY  SCHOOL,CHARPARA,CHOTOBOGI,1758054839,PRIVATE,No
Barguna,Taltali,136817,SOUTH JHARAKHALI SESDP MODEL HIGH SCHOOL,SOUTHJHARAKHALI,KORAIBARIA,1309136817,PRIVATE,Yes
Barguna,Taltali,138435,BOTHIPARA JUNIOR SECONDARY SCHOOL,BOTHIPARA JOMMADARBARI SAROK,SOBAHAN PARA,1715105199,PRIVATE,No
Barguna,Taltali,138627,KACHUPATRA JUNIOR SECONDARY SCHOOL,NALBUNIA,KARAIBARIA,1772859584,PRIVATE,No
Barguna,Taltali,138796,KABIRAJPARA JUNIOR SECONDARY SCHOOL,KABIRAJPARA,SAKINA,1717600827,PRIVATE,No
Barguna,Taltali,139135,DHIRENDRA DEBNATH SHAMBHU JUNIOR HIGHSCHOOL,KAGIRKHAL,TALTALI,1713610070,PRIVATE,No
Barisal,Agailjhara,100347,BAKAL NIRANJAN BAIRAGI HIGH SCHOOL,BAKAL,BAKAL,17134231483,PRIVATE,Yes
Barisal,Agailjhara,100348,AGAILJHARA SREEMATI MATREE MANGAL GIRLS HIGH SCHOOL,AGAILJHARA,AGAILJHARA,1778907755,PRIVATE,Yes
Barisal,Agailjhara,100349,GOILA MODEL HIGH SECONDARY SCHOOL,KALUPARA,GOILA,1713684978,PUBLIC,Yes
